timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,,EU,AT,at,49AT,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,AT,at,50AT,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,AT,at,51AT,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,BE,be,28BE,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,BG,bg,66BG,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,CZ,cz,39CZ,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,CZ,cz,40CZ,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,DE,de,31DE,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,DE,de,32DE,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,DE,de,33DE,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,DE,de,34DE,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,DE,de,35DE,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,DE,de,36DE,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,DE,de,37DE,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,DK,dk_e,72DK,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,DK,dk_w,38DK,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,EE,ee,73EE,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,FI,fi,74FI,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,FI,fi,75FI,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,14FR,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,15FR,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,16FR,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,17FR,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,18FR,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,19FR,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,20FR,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,21FR,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,22FR,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,23FR,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,24FR,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,25FR,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,26FR,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr,27FR,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,FR,fr_co,99FR,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,GR,gr,68GR,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,GR,gr,69GR,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,HR,hr,62HR,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,HU,hu,58HU,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,IT,it_cn,53IT,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,IT,it_cs,54IT,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,IT,it_n,52IT,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,IT,it_s,55IT,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,IT,it_sar,98IT,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,IT,it_sic,56IT,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,LT,lt,77LT,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,LU,lu,29LU,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,LV,lv,78LV,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,NL,nl,30NL,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,PL,pl,41PL,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,PL,pl,42PL,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,PL,pl,43PL,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,PL,pl,44PL,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,PL,pl,45PL,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,RO,ro,59RO,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,RO,ro,60RO,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,RO,ro,61RO,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,SE,se_1,86SE,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,SE,se_2,87SE,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,SE,se_3,88SE,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,SE,se_4,89SE,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,SI,si,57SI,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,EU,SK,sk,46SK,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,nonEU,AL,al,70AL,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,nonEU,BA,ba,63BA,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,nonEU,CH,ch,47CH,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,nonEU,CH,ch,48CH,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,nonEU,ME,me,64ME,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,nonEU,MK,mk,67MK,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,nonEU,NO,no_m,83NO,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,nonEU,NO,no_n,84NO,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,nonEU,NO,no_n,85NO,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,nonEU,NO,no_s,79NO,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,nonEU,NO,no_s,80NO,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,nonEU,NO,no_s,81NO,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,nonEU,NO,no_s,82NO,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,nonEU,RS,rs,65RS,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,nonEU,UK,uk,90UK,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,nonEU,UK,uk,91UK,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,nonEU,UK,uk,92UK,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,nonEU,UK,uk,93UK,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
30th,2040,,nonEU,UK,uk,94UK,miscProHeat,electricHeatPro,eBoilerProLow,capaConvFix,0.0
